City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
341,maniitsoq,65.4167,-52.9,-16.49,83,43,7.05,GL,1675551225
342,vestmannaeyjar,63.4427,-20.2734,4.11,92,100,12.2,IS,1675551412
343,itarema,-2.9248,-39.9167,26.19,81,38,6.15,BR,1675551117
344,mantua,45.1667,10.7833,7.97,81,38,2.68,IT,1675551413
345,shellbrook,53.2168,-106.4011,-6.43,96,99,1.15,CA,1675551218
346,ilam,26.9167,87.9167,10.62,72,5,1.88,NP,1675551414
347,atocha,-20.9333,-66.2333,5.15,85,100,2.93,BO,1675551415
348,atar,20.5169,-13.0499,16.57,19,62,5.25,MR,1675551415
349,roald,62.5833,6.1333,5.18,93,75,8.23,NO,1675551225
350,sabang,5.8933,95.3214,27.37,74,97,6.06,ID,1675551416
351,oussouye,12.485,-16.5469,24.1,49,30,3.99,SN,1675551351
352,mormugao,15.4,73.8,23.91,54,0,2.13,IN,1675551416
353,sistranda,63.7256,8.834,1.98,97,100,7.05,NO,1675551417
354,caravelas,-17.7125,-39.2481,26.46,81,25,4.78,BR,1675551297
355,palmeiras de goias,-16.805,-49.9258,21.92,92,100,1.61,BR,1675551418
356,yar-sale,66.8333,70.8333,-12.8,97,97,2.81,RU,1675551418
357,olafsvik,64.8945,-23.7142,2.5,97,100,10.7,IS,1675551418
358,cordele,31.9635,-83.7824,13.99,30,0,1.54,US,1675551419
359,coahuayana,18.7333,-103.6833,28.93,43,0,2.59,MX,1675551326
360,pangai,-19.8,-174.35,27.1,73,84,12.18,TO,1675551419
361,ternate,0.8,127.4,26.23,78,100,3.22,ID,1675551131
